"Código","Categoria","Origem","Espécie","Rúbrica","Alínea","Detalhamento","Receita Prevista (Bruta)","Receita Arrecadada (Bruta)"
"1.1.1.2.51.0.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","0","15323741.84"
"1.1.1.2.51.0.1.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","0","15323703.72"
"1.1.1.2.51.0.3.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","0","1660262.59"
"1.1.1.2.51.0.7.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","0","298224.31"
"1.1.1.2.51.0.8.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","0","418883.98"
"1.1.1.2.52.0.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","""Imposto sobre Transmissão """"Causa Mortis"""" e Doação de Bens e Direitos - ITCD""","ITCD","0","1698401.68"
"1.1.1.2.52.0.3.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","""Imposto sobre Transmissão """"Causa Mortis"""" e Doação de Bens e Direitos - ITCD""","Dívida Ativa de ITCD","0","27070.67"
"1.1.1.2.52.0.7.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","""Imposto sobre Transmissão """"Causa Mortis"""" e Doação de Bens e Direitos - ITCD""","Multas da Dívida Ativa de ITCD","0","3785.17"
"1.1.1.2.52.0.8.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","""Imposto sobre Transmissão """"Causa Mortis"""" e Doação de Bens e Direitos - ITCD""","Juros de Mora da Dívida Ativa de ITCD","0","12233.83"
"1.1.1.3.03.1.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte","IRRF - Trabalho","0","57663951.23"
"1.1.1.3.03.4.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte","IRRF - Outros Rendimentos","0","308451.91"
"1.1.1.4.50.1.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","500378817.66"
"1.1.1.4.50.1.1.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","166792939.24"
"1.1.1.4.50.1.3.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Dívida Ativa de ICMS ","0","833235.06"
"1.1.1.4.50.1.7.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Multas da Dívida Ativa de ICMS ","0","70725.84"
"1.1.1.4.50.1.8.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Juros de Mora da Dívida Ativa de ICMS ","0","508813.44"
"1.1.1.4.50.2.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Adicional ICMS - FECOP","0","4645730.85"
"1.1.2.1.01.0.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pelo Exercício do Poder de Polícia","Taxas de Inspeção, Controle e Fiscalização","Taxa de Regulação e Fiscalização sobre Serviço de Gás Canalizado","0","276239.67"
"1.1.2.1.01.0.1.14","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pelo Exercício do Poder de Polícia","Taxas de Inspeção, Controle e Fiscalização","Taxa de Registro de Veículo e Habilitação","0","17938110.32"
"1.1.2.1.01.0.1.16","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pelo Exercício do Poder de Polícia","Taxas de Inspeção, Controle e Fiscalização","Atos do ITEP","0","326835"
"1.1.2.1.50.0.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pelo Exercício do Poder de Polícia","Taxa de Fiscalização de Vigilância Sanitária","Taxa de Fiscalização de Vigilância Sanitária","0","71125.56"
"1.1.2.2.01.0.1.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Taxas pela Prestação de Serviços","Taxa de Segurança Contra Incêndio","0","2263697"
"1.1.2.2.01.0.1.08","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Taxas pela Prestação de Serviços","Atos do Departamento de Estradas e Rodagem","0","97202.29"
"1.1.2.2.01.0.1.09","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Taxas pela Prestação de Serviços","Taxa de Serviço de Inspeção e Licenciamento Ambiental","0","1029845.21"
"1.1.2.2.01.0.1.14","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Taxas pela Prestação de Serviços","Taxa de Serv. de Insp. e Licenc. Ambiental - PETROLÍFERAS","0","4579183.97"
"1.1.2.2.01.0.1.98","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Taxas pela Prestação de Serviços","Outras Taxas pela Prestação de Serviços - Adm. Direta","0","275472.51"
"1.1.2.2.01.0.1.99","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Taxas pela Prestação de Serviços","Outras Taxas pela Prestação de Serviços - Adm. Indireta","0","319955.97"
"1.1.2.2.02.0.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Emolumentos e Custas Judiciais","Custas Extrajudiciais","0","151644.81"
"1.1.2.2.02.0.1.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pela Prestação de Serviços","Emolumentos e Custas Judiciais","Emolumentos","0","1467202.21"
"1.2.1.5.01.1.1.01","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Poder Executivo - Ativo Civil","0","25806314.28"
"1.2.1.5.01.1.1.02","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Assembléia Legislativa - Ativo Civil","0","611606.07"
"1.2.1.5.01.1.1.03","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Tribunal de Contas - Ativo Civil","0","456104.67"
"1.2.1.5.01.1.1.04","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Tribunal de Justiça - Ativo Civil","0","4815103.66"
"1.2.1.5.01.1.1.05","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Defensoria Pública - Ativo Civil","0","452976.32"
"1.2.1.5.01.1.1.06","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Ministério Público - Ativo Civil","0","1562084.27"
"1.2.1.5.01.1.1.07","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Poder Executivo - Servidor Ativo Civil - À Disposição","0","6224.77"
"1.2.1.5.01.1.1.08","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Contribuições Previdenciárias Facultativas","0","648.36"
"1.2.1.5.01.2.1.01","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Poder Executivo - Inativo Civil","0","1430481.63"
"1.2.1.5.01.2.1.04","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Tribunal de Justiça - Inativo Civil","0","1074607.22"
"1.2.1.5.01.2.1.06","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Ministério Público - Inativo Civil","0","326322.39"
"1.2.1.5.01.3.1.01","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição do Servidor Civil","Contribuição de Pensionista Civil - Poder Executivo","0","52.92"
"1.2.1.5.02.1.1.01","Receitas Correntes","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição Patronal - Servidor Civil","Contribuição Patronal de Servidor Ativo Civil para o RPPS - À Disposição","0","10051.05"
"1.3.1.1.01.1.1.02","Receitas Correntes","Receita Patrimonial","Exploração do Patrimônio Imobiliário do Estado","Exploração do Patrimônio Imobiliário do Estado","Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação","Aluguéis de Salas","0","449518.62"
"1.3.1.1.01.1.1.21","Receitas Correntes","Receita Patrimonial","Exploração do Patrimônio Imobiliário do Estado","Exploração do Patrimônio Imobiliário do Estado","Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação","Aluguel - Administração Indireta","0","106874.94"
"1.3.1.1.99.0.1.02","Receitas Correntes","Receita Patrimonial","Exploração do Patrimônio Imobiliário do Estado","Exploração do Patrimônio Imobiliário do Estado","Outras Receitas Imobiliárias","Outras Receitas Imobiliárias do SFH","0","87207.71"
"1.3.2.1.01.0.1.01","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. FUNDEB","0","938872.25"
"1.3.2.1.01.0.1.02","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - Royalties F 121","0","70.43"
"1.3.2.1.01.0.1.03","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - FECOP","0","11371.54"
"1.3.2.1.01.0.1.04","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários-Vinc.- Salário Educação","0","67651.4"
"1.3.2.1.01.0.1.05","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - CIDE","0","45829.44"
"1.3.2.1.01.0.1.06","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - Executivo","0","681.39"
"1.3.2.1.01.0.1.09","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - Alienação de Bens - Adm. Indireta","0","481.88"
"1.3.2.1.01.0.1.10","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - Outros Recursos Vinculados à Saúde","0","1853.79"
"1.3.2.1.01.0.1.12","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - SUS - Média e Alta Complexidade","0","11081.39"
"1.3.2.1.01.0.1.13","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - SUS - Vigilância em Saúde","0","2479.83"
"1.3.2.1.01.0.1.14","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - SUS - Assistência Farmacêutica","0","3489.84"
"1.3.2.1.01.0.1.15","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - SUS - Gestão do SUS","0","418.65"
"1.3.2.1.01.0.1.16","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - SUS - Investimentos na Rede de Saúde","0","331585.1"
"1.3.2.1.01.0.1.17","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - SUS - Recursos de Convênio","0","16955.21"
"1.3.2.1.01.0.1.18","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. SUS","0","476.42"
"1.3.2.1.01.0.1.19","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. SUS - Outros","0","0.69"
"1.3.2.1.01.0.1.20","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Aplic. Financeira dos Rec. Vinculados - SUS - COVID-19","0","1477.72"
"1.3.2.1.01.0.1.22","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários - Convênios - Assistência Social","0","9119.34"
"1.3.2.1.01.0.1.23","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - FNAS - PETI","0","3831.99"
"1.3.2.1.01.0.1.26","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - Out. Rec. Vinc. à Ass. Social","0","91580.06"
"1.3.2.1.01.0.1.29","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - FNAS - Outros","0","9887.28"
"1.3.2.1.01.0.1.30","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - FNSP","0","970091.35"
"1.3.2.1.01.0.1.32","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - FNDE - PNAE","0","37159.35"
"1.3.2.1.01.0.1.33","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - FNDE - PNATE","0","2005.25"
"1.3.2.1.01.0.1.35","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos Vinculados - Convênios - Adm. Indireta","0","495.73"
"1.3.2.1.01.0.1.36","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos Vinculados - Convênios - Adm. Direta","0","56200.38"
"1.3.2.1.01.0.1.39","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Vinc. - FNDE - Outros","0","1151417.24"
"1.3.2.1.01.0.1.40","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos Vinculados Diretamente Arrecadados - Administração  Direta","0","56661.05"
"1.3.2.1.01.0.1.41","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Rec. Vinc. - Convênios - Adm. Direta","0","242677.43"
"1.3.2.1.01.0.1.42","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos Vinculados - Operações de Crédito Interna - Administração Direta","0","38992.1"
"1.3.2.1.01.0.1.43","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos  Vinculados - Operação de Crédito Externa - Administração Direta","0","19.08"
"1.3.2.1.01.0.1.44","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos Vinculados - Recursos Diversos - Administração Direta","0","747891.4"
"1.3.2.1.01.0.1.45","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos Vinculados - Diretamente Arrecadados - Administração Indireta","0","163832.27"
"1.3.2.1.01.0.1.46","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Recursos Vinculados - Convênios - Administração Indireta","0","259247.37"
"1.3.2.1.01.0.1.48","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Outros Depósitos Rec. Vinc. - Adm. Direta","0","1612.05"
"1.3.2.1.01.0.1.49","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Outros Depósitos Rec. Vinc. - Adm. Indireta","0","4970.14"
"1.3.2.1.01.0.1.51","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Não Vinc. - Adm. Indireta","0","54164.89"
"1.3.2.1.01.0.1.62","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Rec. Não Vinc. - Executivo","0","1003628.1"
"1.3.2.1.01.0.1.66","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Dep. Bancário Não Vinculado - Fonte 708","0","672.34"
"1.3.2.1.01.0.1.67","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Rec. de Operações de Crédito Externa - Gov. Cidadão","0","47.62"
"1.3.2.1.01.0.1.68","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração de Depósitos Bancários Recursos Vinculados -Fundos Diversos","0","716824.83"
"1.3.2.1.01.0.1.70","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Rec. Dep. Banca deTransferência Especial da União","0","236.51"
"1.3.2.1.01.0.1.72","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Rec. Vinc. - contrapartida de Convênios - Adm. Direta","0","5.6"
"1.3.2.1.01.0.1.75","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração - Recursos Vinculados ao Trânsito","0","27027.82"
"1.3.2.1.01.0.1.98","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração de Depósitos Bancários","Remuneração Rec. de Outros Depósitos Não Vinc. - Adm. Direta","0","129.65"
"1.3.2.1.04.0.1.02","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS","Remuneração dos Investimentos em Rendas Variáveis","0","167602.8"
"1.3.2.1.04.0.1.03","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS","Remuneração dos Investimentos em Fundos Imobiliários","0","49772.25"
"1.3.2.1.04.0.1.04","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS","Remuneração dos Investimentos em Renda Fixa - Fundo Financeiro","0","1141904.35"
"1.3.2.1.04.0.1.09","Receitas Correntes","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS","Remuneração dos Investimentos em Renda Fixa - IPERN","0","232546.79"
"1.4.1.1.01.0.1.03","Receitas Correntes","Receita Agropecuária","Receita Agropecuária","Receita Agropecuária","Receita Agropecuária","Receita Agropecuária - Pecuária","0","95540.91"
"1.5.1.1.01.0.1.02","Receitas Correntes","Receita Industrial","Receita Industrial","Receita Industrial","Receita Industrial","Receita Industrial de Publicidade e Propaganda","0","198356.56"
"1.6.1.1.01.0.1.05","Receitas Correntes","Receita de Serviços","Serviços Administrativos e Comerciais Gerais","Serviços Administrativos e Comerciais Gerais","Serviços Administrativos e Comerciais Gerais","Serviços Educacionais","0","34388"
"1.6.1.1.01.0.1.16","Receitas Correntes","Receita de Serviços","Serviços Administrativos e Comerciais Gerais","Serviços Administrativos e Comerciais Gerais","Serviços Administrativos e Comerciais Gerais","Serviços Agropecuários - Adm. Indireta","0","9504.13"
"1.6.1.1.01.0.1.21","Receitas Correntes","Receita de Serviços","Serviços Administrativos e Comerciais Gerais","Serviços Administrativos e Comerciais Gerais","Serviços Administrativos e Comerciais Gerais","Serviço Programa Restaurante Popular","0","42859"
"1.6.1.1.02.0.1.23","Receitas Correntes","Receita de Serviços","Serviços Administrativos e Comerciais Gerais","Serviços Administrativos e Comerciais Gerais","Inscrição em Concursos e Processos Seletivos","Serviços de Inscrição em Concursos Públicos - Fundos","0","159305.59"
"1.6.9.9.99.0.1.98","Receitas Correntes","Receita de Serviços","Outros Serviços","Outros Serviços","Outros Serviços","Outros Serviços - Admin. Indireta","0","4386"
"1.7.1.1.50.0.1.01","Receitas Correntes","Transferências Correntes","Transferências da União e de suas Entidades","Transferências Decorrentes de Participação na Receita da União","Cota-Parte do Fundo de Participação dos Estados e do Distrito Federal - FPE","Cota-Parte do FPE","0","572550647.14"
"1.7.1.1.53.0.1.01","Receitas Correntes","Transferências Correntes","Transferências da União e de suas Entidades","Transferências Decorrentes de Participação na Receita da União","Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos I","Cota-Parte do IPI","0","1097288.44"
"1.7.1.1.53.0.1.02","Receitas Correntes","Transferências Correntes","Transferências da União e de suas Entidades","Transferências Decorrentes de Participação na Receita da União","Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos I","Cota-Parte do IPI ","0","365762.74"
